station_ft,elevation_ft
4.97,54.02
5,43.38
6.44,42.5
7.21,41.94
8.07,41.05
8.77,40.4
9.57,39.96
11.53,39.28
13.08,38.7
15.03,37.81
19.04,36.99
20.1,37.04
22.39,38.53
26.56,41.2
28.77,42.61
32.51,45
34.38,46.19
38.74,48.98
38.96,49.12
39.55,49.5
39.55,54.02
